drug_name,count
agicardi,8577
partamol tab.,6955
atorvastatin,6946
tunadimet,5587
esomeprazol,5497
kapredin,5054
concor cor,4043
atisyrup zinc,3787
glumeform,3666
dacolfort,3660
rotinvast,3411
lacisartan hct,3279
dogrelsavi,3209
midantin,2793
calciferat,2769
gastevin,2665
losartan dwp,2614
pharbacol,2505
imerixx,2480
methocarbamol mcn,2360
lowsta,2350
betahistin,2333
ripratine,2303
atirin suspension,2212
siro ho haspan,2210
hapacol,2150
kavasdin,2149
ridolip s,2145
silverzinc,2043
apitim,1946
bolabio 10^9 cfu,1890
amaloris,1878
etoricoxib,1866
tiphapred m,1850
stadnex 20 cap,1790
hoastex,1775
gabapentin,1693
fefasdin,1675
huntelaar,1625
simvastatin savi,1542
jardiance,1529
tracardis,1526
glimsure,1520
valsgim,1506
drotusc forte,1499
etofride 50,1477
vastanic,1476
apixodin dt,1458
aspirin,1431
a.t hoạt huyết dưỡng,1396
bisoprolol,1378
fluvastatin dwp,1368
capesto 40,1364
valsgim-h,1337
meyerexcold,1309
antikans,1298
usaralphar,1251
metformin,1238
acigmentin,1214
pegaset,1204
auroliza,1204
isoday,1189
bluemint,1171
atirin 10 (viên),1136
capsicin gel,1077
drotusc,1066
lacikez,1049
empagliflozin,1018
laci-eye,1016
a.t calci sac,1004
gikanin,1004
biocemet sc,996
bividiac,992
greatcet 325mg,983
b-coenzyme,970
savi candesartan,961
idatril,954
ketoproxin,951
entacron,927
atelec tablets,925
mivifort,917
mitiquapril,916
cepmaxlox,909
toricam capsules,897
bluecan forte,897
a.t nicorandil,890
curam,848
atoris,846
wosulin,801
ad tamy,799
fezidat,798
dexibuprofen,797
fluvastatin,775
gliclada,766
glutowin plus,755
klacid,752
sadapron,729
metronidazol,718
glucophage xr,716
mohizi,714
penzima,708
cezinco,704
glucophage ® xr,681
felodipine stella,674
desbebe,670
imefed sc,670
kaflovo,665
savimetoc,665
lipanthyl 200m,659
galvus,654
bicelor 375 dt.,650
novahexin,649
stamlo-t,643
asosalic,640
olanxol,640
debomin,640
vinfoxin,636
camzitol,634
medoome,632
benfosafe,627
tahero,617
famodin,612
agimstan,607
mitipizid,605
ezechol,599
nitidine,589
savnopain,588
súc họng miệng plasmakare chai,585
nakibu,583
sun-levorizin,578
lisoril-10,576
augmentin,575
lipagim,570
apirison 50,569
wizosone,562
biosubtyl-ii 10^7-10^8 cfu/250mg,562
enterobella 1.109 -2.109 cfu,560
dipatin,560
vt-amlopril,552
pracetam,531
domela,529
zopinox,526
fumagate,525
bominity,521
celecoxib,516
mft- cefaclor,515
sucrafil suspension,512
b12 ankermann,505
tanganil,498
dryches,497
ozanta,491
seazimin,489
bromhexin,486
zolmed,484
mezafen,483
mitipreni,466
nalordia,460
anbaescin,454
zaromax,453
dixirein tab,451
oresol,450
partamol- cafein 500mg,448
sanlein,446
melopower,446
palidso,442
mebisita,441
risperidon vpc,434
agitritine,433
ketoprofen ec dwp,431
zinsol,430
afenacol,422
dalekine,421
macrina,418
calcium hasan,415
zinkast,414
ridolip,414
eucol,409
gel dùng ngoài mangizeni,408
xalgetz,407
mibetel hct,404
novomix 30 flexpen + 3 đầu kim novofine,395
hantacid (220 mg,394
glumeben,394
imefed,391
betamaks,390
montelukast normon,390
smail,387
atormac,386
meglucon,386
imefed dt,384
dialamic,380
phlorofon odt,379
theroflan,379
vilason-50,376
rebamipide,373
fascapin-20,365
golheal,358
metazydyna,356
stadlacil,353
thyrozol,349
breezol,343
spinolac fort,342
gaptinew,326
qcozetax,317
navaldo,315
bacterocin oint.,312
phlebodia,309
a.t silymarin,308
lacosepicyn,307
rinalix-xepa,307
daquetin,305
daiclo,305
meyerproxen,304
neosamin forte,301
capriles,300
glimepirid dwp,294
megazon,293
japiane,293
harnal ocas,293
prevlog,292
fitrofu,289
amebismo,288
bourabia-8,288
calcium - nic plus 550mg + 50mg,287
tenafin,284
smodir-dt,283
bioketoca,280
imexime,276
rivaroxaban-5a farma,274
glucovance,273
meyertenin,272
savidimin,270
levpiram,268
harotin,267
am-xodin,263
ivermectin 3 a.t,262
decolic-f,260
genituk,260
karvidil,254
kacerin,253
lipidorox,253
hidrasec,251
đầu kim pen ndl,251
savitelmihct,250
toujeo solostar+10 đầu kim pen ndl,249
benzina 10,249
ramipril,247
atorpa- e,245
ubinutro (30mg,242
agifuros,241
basaglar 300u/3ml,241
simecol,239
lornomeyer,238
conipa pure,237
dung dịch xịt mũi xoang plasmakare x-spray,236
cefcenat,236
đầu kim novofine,236
hydrocolacyl,236
bifehema,235
syxten,234
decolic f,232
raxnazole,230
nefolin,229
phostaligel nic,229
"thuốc ho trẻ em opc (16,2g",229
colchicina seid,226
ramipril-ac,225
clorpheniramin kp,220
tofisopam,219
mepoly (35mg,218
minbrom,217
ayite,217
tobradex,216
diltiazem dwp,216
ivacrig (huyết thanh kháng dại tinh chế),213
livosil,213
mylosulprid,212
lisinopril/hctz stada,212
pregabakern,208
dropstar,206
methylcobalamin capsules,206
gluzitop mr,206
creamec,204
lipitor,202
oflovid,199
delopedil,198
lupipezil,197
winmus,196
fibrofin-145,193
cystin-b6 boston 500 mg,191
nozaxen,188
basicillin,187
ivagim,187
kogimin,187
kitno,186
repaglinide tablets,186
imedoxim,184
kafedipin,184
savi sertraline,183
cravit,180
glencinone,180
bestimac q10,179
vicebrol,177
reboncel urea soft cream,176
vaco loratadine,175
disthyrox 100µg,173
venlafaxine stella,172
luvox,170
espumisan capsules,170
imruvat,169
seretide evohaler dc,169
hismedan,167
levothyrox,166
combiwave fb 200 (200mcg,165
kutab,165
dorithricin,162
opedulox,161
candisafe,160
irbeplus hct,158
ancitic,158
duphalac,158
agifovir,157
calcium lactate 300 tablets,157
alfa-lipogamma 600 oral,156
aceralgin,155
nicomen tablets,155
salgad,154
carbocistein,153
wzitamy tm (viên đặt âm đạo),153
ebitac forte,153
bamifen,146
metiny,145
a.t magnesi b6 plus,145
neorutin,139
mirzaten,138
anbapirex 400mg,137
uperio,136
winfla,134
tiphapred e,133
gel xịt mũi nasorin,133
tamvelier,132
galvus met,132
susol,131
savi ivabradine,130
almed - probiotic moisture rich cream for face & body,130
savi mesalazine 500,130
totcal soft capsule,130
kary uni,129
phong dan,129
"thuốc ho người lớn opc (16,2g",125
nacepil,123
syseye,121
tobrex,121
iba-mentin,120
combigan,120
hoạt huyết dưỡng não dược sư,118
palibone,117
eto,117
savi donepezil,117
mibiotin,116
a.t calcium cort,113
"alphavimin 100mg; 1mg; 1,15mg; 2mg; 133,35iu; 5mg; 6,65mg; 3,35mg",113
capesto,112
amlor,112
bút tiêm insulin-mypen,111
dicenin,110
gastro-bisal tablet,109
moxipa,109
bivantox 200 tab,108
vigamox,107
taflotan,106
hepaqueen plus,106
venosan retard,106
isosorbid mononitrat dwp,104
ulcogen,103
opedulox 40,102
trihexyphenidyl,101
allergoff® skin barrier oil for therapeutic baths/ allergoff® barierowa oliwka do kąpieli leczniczych,100
dopegyt,100
brilinta,99
concor,99
medoxicam,96
miticilux,95
rutantop,95
oprymea,95
linatab tablet,94
dapzin-10,94
vincestad,93
cpr-sachabo,93
tetracyclin,92
savi glipizide,90
aspirin tab dwp,90
domuvar 2x10^9 cfu/5ml,90
apbezo,89
travatan,88
lotemax,87
bilgrel,86
duoridin,86
maxibumol fort,85
butagan syrup,85
candesarmac,85
katrypsin fort,85
rifaliv,85
vesifix,85
respiwel,85
bloci,84
carbamaz,84
thazolxen,83
denk-air junior,82
caltor,81
kaclocide plus,81
etodolac dwp,81
"alumag- s (800,4mg",81
teperinep,80
lacves,80
zynadex,79
lacosoxicron,78
xịt tai etikon,78
dung dịch súc miệng - họng supowat,77
ferium- xt,77
polymer che phủ bảo vệ vết thương healit rectan,76
xịt,76
betahistin 24 a.t,76
eskar vita,74
bvpalin,73
bomitis,72
sagamome,72
đặt âm đạo,71
pred forte,70
clamodia 625 fc tablets,70
insuact,70
alsiful s.r. tablets,70
dloe,69
pancal,69
esdopa-40,69
đặt âm đạo gel dùng ngoài mangizeni,69
ventolin inhaler,69
tavulop,68
fucipa,68
plasmakare nasal clean (hộp 01 bình,68
seropin,68
meyerdabiga,68
auzion 1000 (875mg,67
diamicron mr,67
bv levocin,66
vincerol,66
fixco,64
adacine,64
udexcale,64
digazo,64
pallas,63
plavix,63
fudophar,63
atisaltolin,61
zokicetam,61
ysp-biotase,61
sumakin,60
babismo,60
baclofen dwp,60
febustad 40,60
xịt ventolin inhaler,60
reboncel ac gel,59
cartijoints extra,59
troxipe,59
cenex cap,59
pataday,58
meyernazid,57
cilavef,56
olanzap,56
azopt,55
ibutop,55
acetuss,54
olesom,54
pen ndl,54
betaserc,54
diquas,53
fenostad 67,53
dr.pharti acne gone,53
oravintin,52
quetiapine tablets,51
actre,51
colchicine stella,51
vigentin,50
usarmicin,50
đặt âm đạo candisafe,50
savi etoricoxib,49
vinpocetin danapha,48
femadex,48
epilona dr,47
biocemet dt,47
gel xịt miệng - họng nacato,47
alkidazol,46
ebitac,46
tenafine cream,46
sitavia,46
diosfort,46
fosmitic,45
melevox,45
cetirizin dwp,45
becatec,45
bexinclin,45
savi gemfibrozil,45
savi valsartan,45
rheumatic,45
bát trân,44
dimonium,43
clindamycin eg,43
amvifuxime 250,43
silymax complex,43
timolol,43
vein plus,42
β-hist,42
bosrelor,42
santafer,42
metozamin,41
reduze,41
"pulmicort respules (0.25mg/1ml, ống",40
bisostad,40
metaxidox,40
nolvadex-d,40
datviron,40
thập toàn đại bổ (908mg,40
azarga,39
ethambutol,39
savinapeso,39
savidimin (500mg),38
candekern,38
clarie od,37
vitasun tab,37
nifedipin t20 retard,37
aklevo 500,37
seacaminfort,37
momencef,37
exemesin,37
ketovital,37
xịt seretide evohaler dc,37
letarid 50,36
/lọ,36
savi flunarizine,36
glivt,36
savi eperisone,36
apidra solostar+4 đầu kim pen ndl,36
osvimec,36
runor,36
conazonin,35
spiriva respimat,35
arbitel-am,35
lercatop,34
mocalmix,34
asstrozol,34
ebifanz,34
livernin-dh,34
traulen,34
cefimed,33
glizym-m,33
ketotifen helcor,33
bometan (50mcg,33
divara,32
alavir - e,32
racedagim,32
smecta,32
regulon,31
trimoxtal,31
aspirin stella,31
polymer che phủ bảo vệ vết thương healit,31
proges,31
symbicort rapihaler,31
bridotyl,30
hovinlex,30
clarithromycin stella,29
seractil,29
clonicap,29
tradalen,29
cehitas,29
acetilax,29
atsypax 600 (600mg,28
lanam sc,27
perfeclly,27
calcolife,27
ysp- biotase,27
varonem,27
cordamil,27
kavosnor forte,27
rablet b,27
mariprax,27
gel tra mắt eyegel,26
telodrop mỗi,26
glumarix 20mg; 612mg,26
spirovell,26
philurso,26
pemolip,26
queitoz-50,25
quetiapin,25
phenytoin,25
vastarel mr tab,25
amlodipine stella,25
turbe,25
sovasol,24
"zencombi (2,5mg",24
lisazin,24
arimidex,24
colosar-denk,24
cinnarizine stada,24
clingel,24
dung dịch xịt mũi sterimar nose hygiene and comfort,24
xịt carbocistein,24
tadalafil,24
procoralan,24
thiamazol,23
xuthapirid,23
esojay,23
lepigin,23
lambertu,23
xịt montelukast normon,23
zemfuva,23
ornithin,22
boncium,22
glucozinc s,22
fentimeyer 600,22
morphin,22
asbesone,22
solamup 60,22
meclon,22
bactamox,21
amoxicillin/ acid clavulanic sandoz gmbh,21
valdes,21
captagim,21
humalog mix50 kwikpen+3 pen ndl,21
đặt âm đạo metronidazol,21
auclanityl,21
mebendazole,20
mitidipil,20
antibavir,20
azipowder,20
nesulix,20
tobidex (15mg,20
meyerbastin,20
hiruscar post acne gel,20
effixent,19
taxedac eye drops (25mg,19
ranexicor,19
vinsalamin 500,19
onsetron,19
brusonex,18
boncinco mỗi,18
spulit,18
zynadex 40,18
captopril stella,18
mosad mt,18
nocutil,18
turbezid,18
pecflu,18
midamox,18
utrogestan,18
bluemoxi,17
pokemine,17
tramazetan plus,17
dr max comforcare ice spray,17
xịt midantin,17
pyme diapro mr,16
propylthiouracil dwp,16
exfast,16
roxcetam,16
dung dịch xịt mũi sterimar blocked nose baby,16
symbicort turbuhaler,16
bixebra,16
xyzsac,15
alphadaze -,15
cipro-denk,15
levodhg,15
"dolutegravir, lamivudine and tenofovir disoproxil fumarate tablets",15
risdontab,15
vitatrum - b complex vitamin b1 (thiamin mononitrat) 5mg; vitamin b2 (riboflavin) 2mg; vitamin b6 (pyridoxin hydroclorid) 2mg; vitamin pp (nicotinamid),14
soshydra,14
abricotis,14
axeliv,14
trolimax,14
cefass,14
pecrandil,14
melanov-m,14
uformat,14
dung dịch xịt mũi sterimar allergic nose,14
ceradan diaper,14
ausmuco 750v,13
ahevip,13
postezatal gold,13
clarisol-500,13
tobramycin,13
htnesoum,13
chimitol vaginal tablet,13
rabzak,13
meyer-salazin,13
maxibumol,13
xịt dixirein tab,13
zalenka,12
bromtab 40 tablet,12
isaias,12
ursobil,12
logpatat,12
fave di fuca hydralax,12
tenfovix,12
atifibrate,12
imenir,12
myfoscin,12
xịt syxten,12
haduliptin,11
isotretinoin,11
hadusartan hydro,11
levistel,11
glyxambi,11
/lọ klacid,11
atihepam,11
zebacef,11
ibuhadi 600,11
wamlox,11
alegysal,11
dutixim,11
leminerg,11
abbsin 200,11
alanboss xl,11
ofloxacin-pos,10
scolanzo,10
tazoretin c,10
bostekid 30mg granules,10
monine,10
boganic,10
para-opc,10
reboncel ultra sun block cream,10
xịt spiriva respimat,10
crila forte,10
valcickeck h2,10
algostase,9
tefostad t300,9
dung dịch xịt mũi sterimar sensitive nose,9
neilmed nasogel spray,9
dung dịch rửa vết thương suporan,9
stilaren 50mg,9
zebalos,9
rupatadine stella,9
sita-met tablets 50/1000 50mg/,9
kidneycap bát vị bổ thận dương cao đặc,9
thuốc trĩ tomoko,9
a.t lục vị,9
feleifen,9
tazoretin gel,9
tumegas,9
gumitic,9
winprid,9
mopristad,9
colosar - denk 50/ 12.5,9
permixon,9
glucophage,9
dung dịch xịt mũi sterimar nose hygiene baby,8
phileo tab,8
mirenzine,8
linezin,8
sallet,8
sitomet,8
redlip,8
efferoxen,8
emanera,8
metazrel,8
telmisartan,8
vesicare,8
rosutrox,8
jubve,8
irbesartan od dwp,8
hebozeta,8
nebizide,8
xịt acigmentin,8
sủi,8
hemolog,8
stradiras,8
/lọ olesom,8
nolet,7
dung dịch xịt mũi sterimar blocked nose,7
glupain forte,7
depakine chrono,7
lantus solostar+4 đầu kim pen ndl,7
haducarbo,7
aprovel,7
ibsaga,7
hoạt huyết dưỡng não đông dược việt,7
dromasm fort,7
atiferlic,7
beuticystine,6
neilmed sinus rinse kit 60 sachets,6
eskafolvit capsule,6
diosfrot,6
ritaxim-550,6
agi-calci,6
stresam,6
amlodipine/atorvastatin normon,6
medaxetine,6
detanana,6
isotisun,6
carthyal one,6
thytodux,6
zy-10 forte,6
tenonic,6
/lọ biocemet sc,6
mesadona,6
prizocef,6
cinnarizine sopharma,5
hadubamol,5
anvo-gefitinib,5
ezoleta tablet,5
viên nhuận tràng op.liz,5
sunbrella spf30,5
neilmed sinus rinse pediatric starter kit,5
coversyl plus,5
xịt imerixx,5
pectol te,5
ortizole,5
sumamigren,5
prolandex 60,5
acepental,5
mỡ tra mắt không chất bảo quản hydramed night sensitive,5
xịt symbicort rapihaler,5
cruderan,5
happyvisc,5
carbidopa/levodopa tablets,5
lipanthyl nt,5
feleilor,5
sủi mft- cefaclor,5
heradrea,5
brilinta tab,5
thuốc mỡ potamus,4
cepoxitil,4
bổ gan tiêu độc livsin-94,4
aticizal,4
xarelto tab,4
leracet 500mg film-coated tablets,4
penresit,4
imidu,4
arginin av,4
neilmed sinus rinse 50 sachets,4
flixotide evohaler,4
co-aprovel,4
coversyl tab,4
xịt kapredin,4
bbcelat,4
xịt dogrelsavi,4
aromasin,4
topamax,4
nifehexal 30 la,4
viên nang sâm nhung ht,4
xịt combiwave fb 200 (200mcg,4
xịt tunadimet,4
padolcure,4
asstamid,4
calvin plus,4
pharti derm dermatologique egf moisture cream,4
dermalight active illuminating cream,4
lovarem tablets,4
mibelet,4
co-diovan,4
concor cor tab,4
dimagel,4
nén sủi antikans,3
chorlatcyn cao mật lợn khô,3
colocol suppo 150,3
biseptol 480,3
emfoxim,3
abr complex restoring cream,3
hornol,3
mogaton,3
ventolin inh,3
avantomega,3
eliquis tab,3
crestor tab,3
theresol,3
pms -ursodiol c,3
braiporin syrup,3
buvamed,3
azaduo,3
neilmed sinus rinse 10 sachets,3
xịt capsicin gel,3
quelept,3
neso,3
xịt zinkast,3
xịt valsgim-h,3
xịt novahexin,3
xịt gastevin,3
đặt âm đạo salgad,3
/lọ siro ho haspan,3
xịt kavasdin,3
xịt genituk,3
"atihytalox plus (600mg + 599,8mg",2
vagsur,2
nén sủi,2
agimstan-h,2
fudophos,2
imdur tab,2
nén sủi alphadaze -,2
gimtafort,2
flolistim,2
vinoaci,2
soravar,2
revole,2
calci-d3,2
racesec,2
/lọ fibrofin-145,2
xịt ausmuco 750v,2
roticox,2
lorista hd,2
acc,2
meloxicam od dwp,2
linezolid krka,2
coveram 5-5 tab,2
vietlife bình an,2
irbevel,2
sovalimus,2
khang minh tỷ viêm nang,2
suplizinc,2
povidon vcp,2
vinocyclin,2
meko inh,2
"dutabit 0,5",2
xịt ripratine,2
xịt esomeprazol,2
xịt lipanthyl 200m,2
xịt spinolac fort,2
agiosmin,2
đặt âm đạo zolmed,2
pulmicort respules,2
bilclamos 312.5mg (250mg,2
javelin,2
femaplex,2
viên hộ tâm opcardio,2
xịt vastanic,2
natcorig,2
xịt apitim,2
xịt dryches,2
fucipa 15g(1) túyb cystin-b6 boston 500 mg,2
/lọ augmentin,2
xịt bicelor 375 dt.,2
breztri aerosphere,2
sủi abbsin 200,2
menrva white,2
xịt losartan dwp,2
basethyrox,2
/lọ desbebe,2
soliqua solostar,2
tobidex,2
azlobal 4,2
thụt táo bón endolax,2
thụt táo bón endolax kids,2
/lọ zaromax,2
đặt âm đạo anbaescin,2
acriptega,2
sorbitol,2
bradirem,2
nystatin,2
/lọ dung dịch xịt mũi sterimar blocked nose baby,2
"biviantac (800,4 mg",2
lirystad 150,1
bổ tỳ dưỡng cốt thái dương,1
nén sủi cefimed,1
nén sủi seractil,1
losar-denk,1
candesartan dwp,1
nén sủi pegaset,1
nén sủi vitatrum - b complex vitamin b1 (thiamin mononitrat) 5mg; vitamin b2 (riboflavin) 2mg; vitamin b6 (pyridoxin hydroclorid) 2mg; vitamin pp (nicotinamid),1
savi losartan,1
januvia,1
mibeplen,1
agilecox,1
decolic,1
bifril15mg tablet 2x14's,1
sybrava,1
bifril,1
zinnat suspension,1
/lọ imefed,1
diclowal supp,1
cezmeta,1
lifecita,1
muldini,1
/lọ acigmentin,1
sudagon,1
coveram 10-10 tab 10-10mg 30's,1
clenmysol tab,1
kidneycap bát vị - bổ thận dương,1
stefamlor,1
trileptal,1
tiffy syrup (120mg,1
btozka,1
agifamcin,1
apidogrel 75,1
elaria,1
flaben,1
misenbo,1
xịt imedoxim,1
midanat 100,1
/lọ dung dịch xịt mũi sterimar nose hygiene and comfort,1
xịt bluecan forte,1
caduet,1
gentin,1
foxmyzil,1
"lysoelf 250mg, 100mg",1
xịt camzitol,1
xịt entacron,1
sủi tunadimet,1
xịt fluvastatin,1
xịt dialamic,1
xịt hoastex,1
farzincol,1
atorpa - e,1
xịt mitiquapril,1
xịt dacolfort,1
xịt atoris,1
calci -d,1
xịt amaloris,1
xịt a.t calci sac,1
pidoncam,1
sủi vilason-50,1
xịt stadnex 20 cap,1
xịt melopower,1
/lọ nitidine,1
xịt bioketoca,1
xịt drotusc,1
xịt calciferat,1
xịt cefcenat,1
xịt medoome,1
/lọ tiphapred e,1
xịt zaromax,1
imdur,1
sủi biocemet dt,1
xịt partamol tab.,1
casodex,1
xịt fezidat,1
winde 25,1
pravastatin savi,1
meyerzadin 4,1
xịt siro ho haspan,1
/lọ penzima,1
tamifine,1
omcetti,1
xịt lipitor,1
sủi savimetoc,1
powerforte,1
xịt bromhexin,1
xịt a.t nicorandil,1
prusenza plus,1
xịt meyerexcold,1
sủi clarisol-500,1
xịt glumeform,1
arthroease,1
diovan,1
a.t mequitazine,1
xịt simvastatin savi,1
/lọ azipowder,1
/lọ montelukast normon,1
aciclovir,1
xịt vaco loratadine,1
xịt ivagim,1
/lọ cezinco,1
crederm ointment,1
alphamom,1
xịt kaflovo,1
broncho-vaxom adults,1
sủi bactamox,1
xịt osvimec,1
xịt isoday,1
"xịt zencombi (2,5mg",1
/lọ atsypax 600 (600mg,1
feraminda,1
kabzu,1
xịt lacisartan hct,1
giotrif,1
xịt desbebe,1
xịt biocemet sc,1
revole 40mg(3) partamol- cafein 500mg,1
dưỡng cốt,1
cetigam,1
